Date,Open,High,Low,Close,Adj Close,Volume
04-03-2021,475.350006,501.700012,475.350006,493.299988,493.299988,26678
05-03-2021,475.399994,493.75,475.399994,480.5,480.5,23490
08-03-2021,476,489.5,474.899994,477.899994,477.899994,24198
09-03-2021,480.100006,500.049988,478.799988,488.049988,488.049988,27287
10-03-2021,492.700012,497.5,485.149994,488.049988,488.049988,41111
12-03-2021,489.899994,506,489.899994,503.25,503.25,86589
15-03-2021,504,511.799988,490.049988,500.649994,500.649994,29662
16-03-2021,506.299988,539,506.299988,523.900024,523.900024,82385
17-03-2021,524.049988,525.299988,501.600006,506.5,506.5,50481
18-03-2021,513.900024,513.900024,475.200012,484.25,484.25,42322
19-03-2021,476.25,484.25,452.200012,467.200012,467.200012,55261
22-03-2021,465,475.600006,457.5,472.049988,472.049988,29176
23-03-2021,472.049988,491.75,472.049988,480.5,480.5,31519
24-03-2021,480,506.799988,474.799988,482.5,482.5,62722
25-03-2021,482.5,502.950012,474.5,487.899994,487.899994,54504
26-03-2021,490,504.899994,486,489.700012,489.700012,31032
30-03-2021,495.200012,512.200012,488.600006,506,506,24008
31-03-2021,506,518.5,501.799988,509.350006,509.350006,41049
01-04-2021,515,528.549988,514,525.400024,525.400024,72386
05-04-2021,525.400024,537.950012,514.25,522.400024,522.400024,40157
06-04-2021,530,553.900024,525.549988,544.900024,544.900024,102774
07-04-2021,548,578.650024,536.150024,570.950012,570.950012,50921
08-04-2021,575,605,571.799988,592.549988,592.549988,105511
09-04-2021,601,607.75,583.650024,589.650024,589.650024,52014
12-04-2021,583.549988,585,562.549988,571.799988,571.799988,39643
13-04-2021,587.950012,632.75,575.200012,616.349976,616.349976,31338
15-04-2021,615,616.349976,585.950012,593.599976,593.599976,32243
16-04-2021,593.599976,609.900024,563,582.650024,582.650024,26025
19-04-2021,579.900024,604.950012,565.950012,586.599976,586.599976,22506
